Feature,Mean_Abs_SHAP_Class_0,Mean_SHAP_Class_0,Std_SHAP_Class_0,Mean_Abs_SHAP_Class_1,Mean_SHAP_Class_1,Std_SHAP_Class_1,Mean_Abs_SHAP_Class_2,Mean_SHAP_Class_2,Std_SHAP_Class_2,Overall_Mean_Abs_SHAP
Stress Level (1-10),0.05082830554921128,-0.016531449104006092,0.054822583279435295,0.09766749508084935,0.03220801390350808,0.10386417863303664,0.04835228994856975,-0.016197183418828916,0.05434065034385228,0.06561603019287679
Sleep Hours,0.015232478051909854,-0.004843982632419364,0.021288780594209186,0.02221570636250233,0.006901603550262325,0.028104531530139625,0.0082394023718361,-0.0019706817586429507,0.011367039070575466,0.015229195595416092
Therapy Sessions (per month),0.01520071867635443,-0.002243888643413126,0.02331010043703727,0.0178988363495473,0.002279986774225113,0.024211630024552493,0.006418864281869168,-0.0005374122527153428,0.008163248211236486,0.013172806435923633
Caffeine Intake (mg/day),0.010526248225406442,-0.0008713734708669251,0.016387112618227697,0.013724612828523578,-0.0004491966824206553,0.01847616440878355,0.006373444576745789,0.0008913172417134857,0.008997836042636426,0.010208101876891936
Diet Quality (1-10),0.006609525282502815,-0.00039351543403453584,0.011772425438060265,0.0027803697749588176,0.00017329796460353473,0.005061840770241082,0.0034265179107459028,-6.505110004464626e-05,0.006659010732796275,0.004272137656069179
Family History of Anxiety,0.0020184184385721037,-0.001658000531536035,0.0024123868610311764,0.004779296222960252,0.0007211612574677575,0.005582280649507782,0.002541652985021663,0.0009989541215488717,0.0030149075247999295,0.00311312254885134
Physical Activity (hrs/week),0.003770551340090048,-0.0015701299268946762,0.005359036969411946,0.0028700189042722563,0.0008645572984402308,0.004090747390639576,0.0013311942249997594,0.0006176716038593663,0.002204113988793125,0.002657254823120688
Heart Rate (bpm),0.003123236598400361,-0.0013814972816725505,0.004187147695057693,0.0017945646476609151,0.0006694836844341164,0.0027363881275432387,0.0017840347294273608,0.0008166496232283216,0.002449234302898601,0.002233945325162879
Smoking,0.0005099998242516383,-0.0002989668882173458,0.0010264010545842916,0.002258803386274925,0.0007279828194960694,0.0028996482731428537,0.0017660249003103351,0.0007066729651270475,0.002006143968808149,0.001511609370278966
Age,0.0016424137257484257,-0.0013391438827602053,0.002036115667149724,0.0014730761829131137,0.0007328406141818125,0.0020721445871982624,0.0006420456092467769,0.0004114983431007765,0.0013678120523314189,0.001252511839302772
Medication,0.000328536810177356,-0.000328536810177356,0.0007438212640780104,0.001228102480430878,0.000811354749020677,0.0016020269824867856,0.0011268311443463808,0.0005467393780937548,0.0014798394021871752,0.0008944901449848716
Sweating Level (1-5),0.001357292775454177,-0.0008128393207431426,0.0018613422887804908,0.0004075760968625871,0.00019830069204239534,0.0007883557970846062,0.0007960901827094916,0.0003780810783523678,0.0013232949165944774,0.0008536530183420853
Alcohol Consumption (drinks/week),0.0012774517027062267,-0.00102435936625039,0.001737235576101685,0.0005797215917060558,0.0005797215917060558,0.0011798871298099234,0.0003096450873678,0.00019675607478812453,0.0006184060627997395,0.0007222727939266942
Breathing Rate (breaths/min),0.0011655676391542104,-0.0007086610959670149,0.002105577851877615,0.0006474249517467887,0.0002793623308709506,0.001478020408086777,0.0003384788046970735,0.00018612477149884053,0.0008380365263011333,0.0007171571318660241
Occupation,0.0006890113762127231,-0.000587413613966804,0.0011359742263086353,0.0003333192402029283,0.0002457160174392753,0.0008139431224064106,0.00022921325470273474,0.00014456972785558013,0.0007364436391910884,0.0004171812903727954
Recent Major Life Event,0.00012225652320036417,-0.00012225652320036417,0.00043566876903815684,0.0001687069845749059,0.00011783404189991466,0.00045718081385964386,0.0006933310849230008,0.0006244734939095216,0.0007526698684633591,0.00032809819756609025
Gender,0.0004444353820510724,-0.0004444353820510724,0.0007612111390864232,0.0002667932672279074,0.0002667932672279074,0.0005503227141133198,5.5611940437833565e-05,-1.3437086649425453e-05,0.0002857455601133789,0.00025561352990560444
Dizziness,0.0002584643335634509,-0.00018026509240649428,0.0006222495646578877,0.00013662969589087288,4.076820701221458e-05,0.00046431308779096547,0.0003003790309281399,0.00023539011297106478,0.0005278407538396646,0.0002318243534608212
